"grade","latlong","longitude","latitude","2005","2010","2015","stu_2015_2010","stu_2015_2005","stu_2015_2010_abs","stu_2015_2005_abs","name","address"
0,"42.293 -71.053","-71.053","42.293",44,42,40,-2,-4,2,4,"Neighborhood House Charter (District) - Neighborhood House Charter School","21 Queen Street, Dorchester, MA 02122"
0,"42.293 -71.062","-71.062","42.293",22,45,46,1,24,1,24,"Boston - Dr. William Henderson Lower","1669 Dorchester Avenue, Dorchester, MA 02122"
0,"42.294 -71.049","-71.049","42.294",73,64,62,-2,-11,2,11,"Boston - Richard J Murphy","1 Worrell Street, Dorchester, MA 02122"
0,"42.294 -71.115","-71.115","42.294",0,27,24,-3,24,3,24,"Boston - Boston Teachers Union School","25 Walk Hill Street, Jamaica Plain, MA 02130"
0,"42.295 -71.071","-71.071","42.295",22,0,0,0,-22,0,22,"Boston - Lucy Stone","22 Regina Rd, Dorchester, MA 02124"
0,"42.295 -71.091","-71.091","42.295",0,0,60,60,60,60,60,"Brooke Charter School Mattapan - Brooke Charter School Mattapan","150 American Legion Highway, Boston, MA 02124"
0,"42.296 -71.072","-71.072","42.296",0,0,23,23,23,23,23,"Codman Academy Charter Public (District) - Codman Academy Charter Public School","637 Washington Street, Dorchester, MA 02124"
0,"42.296 -71.074","-71.074","42.296",29,30,48,18,19,18,19,"Boston - O W Holmes","40 School Street, Dorchester, MA 02124"
0,"42.296 -71.080","-71.080","42.296",43,46,41,-5,-2,5,2,"Boston - Sarah Greenwood","189 Glenway Street, Dorchester, MA 02121"
0,"42.299 -71.070","-71.070","42.299",97,102,62,-40,-35,40,35,"UP Academy Charter School of Dorchester (District) - UP Academy Charter School of Dorchester","35 Westville Street, Boston, MA 02124"
0,"42.301 -71.085","-71.085","42.301",0,0,40,40,40,40,40,"Bridge Boston Charter School - Bridge Boston Charter School","2 McLellan Street, Dorchester, MA 02121"
0,"42.305 -71.131","-71.131","42.305",22,24,22,-2,0,2,0,"Boston - Joseph P Manning","130 Louders Lane, Jamaica Plain, MA 02130"
0,"42.306 -71.073","-71.073","42.306",93,93,112,19,19,19,19,"Boston - UP Academy Holland","85 Olney Street, Dorchester, MA 02121"
0,"42.307 -71.062","-71.062","42.307",55,83,89,6,34,6,34,"Boston - Mather","1 Parish Street, Dorchester, MA 02122"
0,"42.307 -71.113","-71.113","42.307",19,16,26,10,7,10,7,"Boston - Margarita Muniz Academy","20 Child Street, Boston, MA 02130"
0,"42.307 -71.114","-71.114","42.307",92,75,0,-75,-92,75,92,"Boston - Agassiz","20 Child St, Jamaica Plain, MA 02130"
0,"42.311 -71.071","-71.071","42.311",44,42,0,-42,-44,42,44,"Boston - ELC - East Zone","370 Columbia Rd, Dorchester, MA 02125"
0,"42.311 -71.073","-71.073","42.311",43,0,0,0,-43,0,43,"Boston - Quincy E Dickerman","206 Magnolia St, Dorchester, MA 02121"
0,"42.311 -71.076","-71.076","42.311",0,54,70,16,70,16,70,"Boston - Martin Luther King Jr Mid","77 Lawrence Ave., Dorchester, MA 02121"
0,"42.313 -71.098","-71.098","42.313",49,49,51,2,2,2,2,"Boston - Rafael Hernandez","61 School Street, Roxbury, MA 02119"
0,"42.314 -71.059","-71.059","42.314",42,37,37,0,-5,0,5,"Boston - Edward Everett","71 Pleasant Street, Dorchester, MA 02125"
0,"42.315 -71.078","-71.078","42.315",71,62,65,3,-6,3,6,"Boston - Haynes Early Education Center","263 Blue Hill Avenue, Roxbury , MA 02119"
0,"42.315 -71.087","-71.087","42.315",71,48,65,17,-6,17,6,"Boston - William Monroe Trotter","135 Humboldt Avenue, Dorchester, MA 02121"
0,"42.316 -71.093","-71.093","42.316",42,43,88,45,46,45,46,"Boston - David A Ellis","302 Walnut Avenue, Roxbury, MA 02119"
0,"42.316 -71.101","-71.101","42.316",22,30,38,8,16,8,16,"Boston - Ellis Mendell","164 School Street, Roxbury, MA 02119"
0,"42.317 -71.042","-71.042","42.317",85,72,60,-12,-25,12,25,"Boston - Paul A Dever","325 Mt Vernon Street, Dorchester, MA 02125"
0,"42.317 -71.081","-71.081","42.317",0,0,72,72,72,72,72,"KIPP Academy Boston Charter School (District) - KIPP Academy Boston Charter School","384 Warren Street, Boston, MA 02119"
0,"42.317 -71.091","-71.091","42.317",30,0,42,42,12,42,12,"Boston - Higginson","160 Harrishof Street, Roxbury, MA 02119"
0,"42.318 -71.075","-71.075","42.318",43,46,61,15,18,15,18,"Boston - John Winthrop","35 Brookford Street, Dorchester, MA 02125"
0,"42.318 -71.113","-71.113","42.318",40,59,80,21,40,21,40,"Boston - Mary E Curley Middle","493 Centre St, Jamaica Plain, MA 02130"
0,"42.320 -71.059","-71.059","42.320",58,57,58,1,0,1,0,"Boston - William E Russell","750 Columbia Road, Dorchester, MA 02125"
0,"42.321 -71.085","-71.085","42.321",0,41,70,29,70,29,70,"Boston - Higginson/Lewis K-8","131 Walnut Avenue, Roxbury, MA 02119"
0,"42.321 -71.106","-71.106","42.321",38,56,61,5,23,5,23,"Boston - John F Kennedy","7 Bolster Street, Jamaica Plain, MA 02130"
0,"42.323 -71.058","-71.058","42.323",17,21,39,18,22,18,22,"Boston - Roger Clap","35 Harvest Street, Dorchester, MA 02125"
0,"42.323 -71.073","-71.073","42.323",23,33,44,11,21,11,21,"Dudley Street Neighborhood Charter School - Dudley Street Neighborhood Charter School","6 Shirley Street, Boston, MA 02119"
0,"42.325 -71.091","-71.091","42.325",21,23,20,-3,-1,3,1,"Boston - Nathan Hale","51 Cedar Street, Roxbury, MA 02119"
0,"42.326 -71.071","-71.071","42.326",38,31,36,5,-2,5,2,"Boston - Samuel W Mason","150 Norfolk Avenue, Roxbury, MA 02119"
0,"42.326 -71.106","-71.106","42.326",83,64,82,18,-1,18,1,"Boston - James W Hennigan","200 Heath Street, Jamaica Plain, MA 02130"
0,"42.330 -71.077","-71.077","42.330",63,63,77,14,14,14,14,"Boston - Orchard Gardens ","906 Albany Street, Roxbury, MA 02119"
0,"42.331 -71.050","-71.050","42.331",44,41,39,-2,-5,2,5,"Boston - Michael J Perkins","50 Burke Street, South Boston, MA 02127"
0,"42.332 -71.030","-71.030","42.332",28,22,28,6,0,6,0,"Boston - Oliver Hazard Perry","745 E. 7th Street, South Boston, MA 02127"
0,"42.333 -71.098","-71.098","42.333",38,42,77,35,39,35,39,"Boston - Maurice J Tobin","40 Smith St, Roxbury, MA 02120"
0,"42.334 -71.038","-71.038","42.334",46,68,53,-15,7,15,7,"Boston - Joseph P Tynan","650 E.  Fourth Street, South Boston, MA 02127"
0,"42.334 -71.106","-71.106","42.334",22,25,0,-25,-22,25,22,"Boston - Farragut","10 Fenwood Road, Boston, MA 02115"
0,"42.338 -71.052","-71.052","42.338",84,89,95,6,11,6,11,"Boston - James Condon Elementary","200 D Street, South Boston, MA 02127"
0,"42.339 -71.077","-71.077","42.339",57,42,43,1,-14,1,14,"Boston - Joseph J Hurley","70 Worcester Street, Boston, MA 02118"
0,"42.340 -71.073","-71.073","42.340",93,91,72,-19,-21,19,21,"Boston - Blackstone","380 Shawmut Avenue, Boston, MA 02118"
0,"42.340 -71.154","-71.154","42.340",29,0,0,0,-29,0,29,"Boston - Alexander Hamilton","198 Strathmore Rd, Brighton, MA 02135"
0,"42.341 -71.140","-71.140","42.341",37,36,45,9,8,9,8,"Boston - Baldwin Early Learning Center","121 Corey Road, Brighton, MA 02135"
0,"42.344 -71.073","-71.073","42.344",0,0,2,2,2,2,2,"Boston - William McKinley","90 Warren Avenue, Boston, MA 02116"
0,"42.345 -71.160","-71.160","42.345",0,44,49,5,49,5,49,"Boston - Thomas A Edison Jr High","60 Glenmont Road, Brighton, MA 02135"
0,"42.347 -71.064","-71.064","42.347",120,120,114,-6,-6,6,6,"Boston - Josiah Quincy","885 Washington Street, Boston, MA 02111"
0,"42.347 -71.154","-71.154","42.347",26,48,52,4,26,4,26,"Boston - Winship Elementary","54 Dighton Street, Brighton, MA 02135"
0,"42.351 -71.137","-71.137","42.351",87,85,85,0,-2,0,2,"Boston - Horace Mann School for the Deaf","40 Armington  Street, Allston, MA 02134"
0,"42.351 -71.161","-71.161","42.351",13,9,13,4,0,4,0,"Boston - Lyon K-8","50 Beechcroft Street, Brighton, MA 02135"
0,"42.352 -71.120","-71.120","42.352",0,0,54,54,54,54,54,"Media and Technology Charter - Media and Technology Charter School","1001 Commonwealth Avenue, Boston, MA 02215"
0,"42.352 -71.160","-71.160","42.352",40,0,0,0,-40,0,40,"Boston - Lyon Upper 9-12","95 Beechcroft Street, Brighton, MA 02135"
0,"42.360 -71.133","-71.133","42.360",52,60,39,-21,-13,21,13,"Boston - Thomas Gardner","30 Athol Street, Allston, MA 02134"
0,"42.365 -71.034","-71.034","42.365",44,46,56,10,12,10,12,"Boston - Samuel Adams","165 Webster Street, East Boston, MA 02128"
0,"42.366 -71.053","-71.053","42.366",21,35,74,39,53,39,53,"Boston - Eliot Elementary","16 Charter Street, Boston, MA 02113"
0,"42.375 -71.033","-71.033","42.375",27,53,57,4,30,4,30,"Boston - James Otis","218 Marion Street, East Boston, MA 02128"
0,"42.376 -71.057","-71.057","42.376",74,61,76,15,2,15,2,"Boston - Harvard-Kent","50 Bunker Hill Street, Charlestown, MA 02129"
0,"42.378 -71.030","-71.030","42.378",20,49,42,-7,22,7,22,"Boston - Patrick J Kennedy","343 Saratoga Street, East Boston, MA 02128"
0,"42.378 -71.038","-71.038","42.378",43,46,43,-3,0,3,0,"Boston - Hugh Roe ODonnell","33 Trenton Street, East Boston, MA 02128"
0,"42.378 -71.040","-71.040","42.378",0,0,64,64,64,64,64,"Boston - Mario Umana Middle School Academy","312 Border St, East Boston, MA 02128"
0,"42.378 -71.064","-71.064","42.378",44,64,69,5,25,5,25,"Boston - Warren-Prescott","50 School Street, Charlestown, MA 02129"
0,"42.382 -71.016","-71.016","42.382",0,0,61,61,61,61,61,"Brooke Charter School East Boston - Brooke Charter School East Boston","94 Horace, East Boston, MA 02128"
0,"42.388 -71.004","-71.004","42.388",40,53,52,-1,12,1,12,"Boston - Curtis Guild","195 Leyden Street, East Boston, MA 02128"
0,"42.390 -71.027","-71.027","42.390",64,65,64,-1,0,1,0,"Boston - Donald Mckay","122 Cottage Street, East Boston, MA 02128"
0,"42.391 -71.005","-71.005","42.391",22,26,37,11,15,11,15,"Boston - Manassah E Bradley","110 Beachview Road, East Boston, MA 02128"
0,"42.391 -71.027","-71.027","42.391",68,54,58,4,-10,4,10,"Boston - East Boston Early Childhood Center","135 Grove Street, East Boston, MA 02128"
0,"42.392 -71.031","-71.031","42.392",22,22,14,-8,-8,8,8,"Boston - Dante Alighieri","37 Grove Street, East Boston, MA 02128"
1,"42.242 -71.123","-71.123","42.242",42,41,42,1,0,1,0,"Boston - Franklin D Roosevelt","95 Needham Road, Hyde Park, MA 02136"
