"name","org.code","year","students","grade","maxgrade","address","latitude","longitude","zip","boston","charter","charter.alt","boston2","mingrade"
"BOSTON - ELC - WEST ZONE",350006,"2000","37",-1,1,"200 Heath Street, Jamaica Plain, MA 02130",42.32602692,-71.10681915,2130,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - ELLIS MENDELL",350100,"2000","5",-1,5,"164 School Street, Roxbury, MA 02119",42.3169155,-71.1013381,2119,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - GEORGE H CONLEY",350122,"2000","33",-1,5,"450 Poplar Street, Roslindale, MA 02131",42.2746048,-71.12731934,2131,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - HARVARD-KENT",350200,"2000","7",-1,5,"50 Bunker Hill Street, Charlestown, MA 02129",42.3767399,-71.05702758,2129,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - HENRY L HIGGINSON",350137,"2000","33",-1,5,"160 HARRISHOF STREET, Roxbury, MA 2119",42.317677,-71.0915746,2119,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - HORACE MANN",350750,"2000","12",-1,12,"40 Armington  Street, Allston, MA 02134",42.3519992,-71.1377044,2134,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - JACKSON MANN",350013,"2000","7",-1,5,"40 Armington Street, Allston, MA 02134",42.351989,-71.137687,2134,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - JAMES CONDON ELEM",350146,"2000","61",-1,5,"200 D Street, South Boston, MA 02127",42.33834839,-71.05284882,2127,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - JOHN P HOLLAND",350167,"2000","1",-1,5,"85 Olney Street, Dorchester, MA 02121",42.30607986,-71.07362366,2121,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - JOHN WINTHROP",350180,"2000","25",-1,5,"35 Brookford Street, Dorchester, MA 02125",42.31838509,-71.07556365,2125,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - JOSEPH LEE",350183,"2000","30",-1,5,"155 Talbot Avenue, Dorchester, MA 02124",42.29253732,-71.0800463,2124,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - JOSEPH P TYNAN",350181,"2000","8",-1,5,"650 E.  Fourth Street, South Boston, MA 02127",42.33478747,-71.03828095,2127,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - JOSIAH QUINCY",350286,"2000","9",-1,5,"885 Washington Street, Boston, MA 02111",42.34798813,-71.06498718,2111,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - MANASSAH E BRADLEY",350215,"2000","21",-1,5,"110 Beachview Road, East Boston, MA 02128",42.39142835,-71.00563981,2128,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - MATTAHUNT",350226,"2000","55",-1,5,"100 Hebron Street, Mattapan, MA 02126",42.27426142,-71.10606708,2126,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - MATTAPAN ECC",350008,"2000","67",-1,1,"108 Babson Street, Mattapan, MA 02126",42.27180116,-71.09209344,2126,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - MOZART",350237,"2000","24",-1,5,"236 Beech Street, Roslindale, MA 02131",42.28120422,-71.14104462,2131,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - O W HOLMES",350138,"2000","21",-1,5,"40 School Street, Dorchester, MA 02124",42.2966783,-71.0749007,2124,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - PATRICK O'HEARN",350266,"2000","45",-1,5,"1669 Dorchester Avenue, Dorchester, MA 02122",42.29376376,-71.06213249,2122,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - PAULINE AGASSIZ SHAW",350270,"2000","10",-1,5,"429 Norfolk St, Dorchester, MA 02124",42.282101,-71.086933,2124,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - RAFAEL HERNANDEZ",350691,"2000","41",-1,8,"61 School Street, Roxbury, MA 02119",42.31377706,-71.09818339,2119,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - SAMUEL W MASON",350304,"2000","22",-1,5,"150 Norfolk Avenue, Roxbury, MA 02119",42.32642703,-71.07100323,2119,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - SARAH GREENWOOD",350308,"2000","26",-1,8,"189 Glenway Street, Dorchester, MA 02121",42.29650879,-71.08069611,2121,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - WARREN-PRESCOTT",350346,"2000","2",-1,5,"50 School Street, Charlestown, MA 02129",42.37807833,-71.06417768,2129,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - WILLIAM MONROE TROTTER",350370,"2000","6",-1,5,"135 Humboldt Avenue, Dorchester, MA 02121",42.31533542,-71.08781531,2121,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON - WINSHIP ELEMENTARY",350374,"2000","33",-1,5,"54 Dighton Street, Brighton, MA 02135",42.34754004,-71.15443468,2135,TRUE,FALSE,FALSE,TRUE,-1
