"name","org.code","year","students","grade","maxgrade","address","latitude","longitude","zip","boston","charter","charter.alt","boston2"
"BOSTON                         - CHARLES H TAYLOR",350054,"2001","6",-1,,"1060 Morton Street, Mattapan, MA 02126",42.27751091,-71.07775569,2126,TRUE,FALSE,FALSE,TRUE
"BOSTON                         - CHARLES SUMNER",350052,"2001","1",-1,,"15 Basile Street, Roslindale, MA 02131",42.28640747,-71.12687683,2131,TRUE,FALSE,FALSE,TRUE
"BOSTON                         - CURTIS GUILD",350062,"2001","6",-1,,"195 Leyden Street, East Boston, MA 02128",42.38860801,-71.00412302,2128,TRUE,FALSE,FALSE,TRUE
"BOSTON                         - EAST BOSTON ECC",350009,"2001","63",-1,,"135 Grove Street, East Boston, MA 02128",42.391456,-71.027336,2128,TRUE,FALSE,FALSE,TRUE
"BOSTON                         - EDWARD EVERETT",350088,"2001","13",-1,,"71 Pleasant Street, Dorchester, MA 02125",42.31405869,-71.05980903,2125,TRUE,FALSE,FALSE,TRUE
"BOSTON                         - ELC - EAST ZONE",350005,"2001","44",-1,,"370 Columbia Rd, Dorchester, MA 02125",42.311196,-71.071393,2125,TRUE,FALSE,FALSE,TRUE
"BOSTON                         - ELC - NORTH ZONE",350003,"2001","45",-1,,"121 Corey Road, Brighton, MA 02135",42.34194565,-71.14056396,2135,TRUE,FALSE,FALSE,TRUE
"BOSTON                         - ELC - WEST ZONE",350006,"2001","41",-1,,"200 Heath Street, Jamaica Plain, MA 02130",42.32602692,-71.10681915,2130,TRUE,FALSE,FALSE,TRUE
"BOSTON                         - ELLIS MENDELL",350100,"2001","6",-1,,"164 School Street, Roxbury, MA 02119",42.3169155,-71.1013381,2119,TRUE,FALSE,FALSE,TRUE
"BOSTON                         - GEORGE H CONLEY",350122,"2001","36",-1,,"450 Poplar Street, Roslindale, MA 02131",42.2746048,-71.12731934,2131,TRUE,FALSE,FALSE,TRUE
"BOSTON                         - HARVARD-KENT",350200,"2001","12",-1,,"50 Bunker Hill Street, Charlestown, MA 02129",42.3767399,-71.05702758,2129,TRUE,FALSE,FALSE,TRUE
"BOSTON                         - HENRY L HIGGINSON",350137,"2001","29",-1,,"160 HARRISHOF STREET, Roxbury, MA 2119",42.317677,-71.0915746,2119,TRUE,FALSE,FALSE,TRUE
"BOSTON                         - HORACE MANN",350750,"2001","9",-1,,"40 Armington  Street, Allston, MA 02134",42.3519992,-71.1377044,2134,TRUE,FALSE,FALSE,TRUE
"BOSTON                         - JACKSON MANN",350013,"2001","3",-1,,"40 Armington Street, Allston, MA 02134",42.351989,-71.137687,2134,TRUE,FALSE,FALSE,TRUE
